conversation_id,tweet_id,arxiv_identifiers
1387532917971329024,1387532917971329024,['2104.08570']
1387532917971329024,1387533213569015809,[]
1384882061647958016,1384882061647958016,[]
1384882061647958016,1384882062725898240,[]
1384882061647958016,1384882063669596163,[]
1384882061647958016,1384882064588169216,[]
1384882061647958016,1384882065443807233,[]
1384882061647958016,1384882066446290949,[]
1384882061647958016,1384882067381628934,[]
1384882061647958016,1384882068342067201,[]
1384882061647958016,1384882069252231170,[]
1384882061647958016,1384882070271430659,[]
1384882061647958016,1384882595096408066,[]
1384882061647958016,1384882596212101121,[]
1384882061647958016,1384883900749656066,[]
1384882061647958016,1384883901873725448,[]
1384882061647958016,1384883902968483840,[]
1384882061647958016,1384884009415622656,[]
1384882061647958016,1384885467095740418,[]
1384882061647958016,1384885468278497293,[]
1384882061647958016,1384885469306134530,[]
1384882061647958016,1384887467841572866,['1811.12569']
1384882061647958016,1384887469062168578,['1803.02324']
1384882061647958016,1384887470169407491,['2009.10795']
1384882061647958016,1384887471511465986,['2008.07267']
1384882061647958016,1384889727090929664,[]
1384882061647958016,1384889809223704582,[]
1384882061647958016,1384916074383265797,[]
1384552647382888453,1384552647382888453,['2104.06678']
1384552647382888453,1384552648532107271,[]
1384552647382888453,1384552649526181896,[]
1384441892067229697,1384441892067229697,[]
1384441892067229697,1384442357148524546,[]
1384441892067229697,1384444769607245824,['2009.07806']
1384441892067229697,1384447152374550529,['2104.07467']
1384441892067229697,1384454433451433984,[]
1384441892067229697,1384461353621020672,['2010.01061']
1384441892067229697,1384465625486176256,[]
1384403521353682944,1384403521353682944,[]
1384403521353682944,1384414105369554946,[]
1384403521353682944,1384414538913693697,[]
1384403521353682944,1384416695968845829,['2009.07118']
1383009233403273216,1383009233403273216,['2104.07412']
1383009233403273216,1383009453352570883,[]
1383009233403273216,1383009599515734020,[]
1383009233403273216,1383009716561973252,[]
1383009233403273216,1383009879862960129,[]
1383009233403273216,1383009997970362368,[]
1383009233403273216,1383010174538031106,[]
1383009233403273216,1383010355731955713,[]
1383009233403273216,1383010512850522114,[]
1383009233403273216,1383010613857820675,[]
1383009233403273216,1383010710855294977,[]
1383009233403273216,1383010814202933252,[]
1383009233403273216,1383010899473137665,[]
1383009233403273216,1383011360833990656,[]
1375357829423497217,1375357829423497217,['2103.01273']
1375357829423497217,1375357830807568385,[]
1375357829423497217,1375357832346877953,[]
1352616083660922880,1352616083660922880,[]
1352616083660922880,1352616086970265601,['2101.08231']
1352616083660922880,1352616089998471175,[]
1345047774635708416,1345047774635708416,['2012.15156']
1345047774635708416,1345047997185458176,[]
1344856330037846016,1344856330037846016,['2012.15833']
1344856330037846016,1344856334274097158,[]
1339572271975948290,1339572271975948290,['2006.13979']
1339572271975948290,1339572273368457219,[]
1339572271975948290,1339572274618359809,[]
1339572271975948290,1339572275864068096,[]
1339572271975948290,1339572277487267840,[]
1339572271975948290,1339572278699372552,[]
1339572271975948290,1339572279861268480,[]
1339572271975948290,1339572281115353089,[]
1337393205415964672,1337393205415964672,[]
1337393205415964672,1337393301163532288,['2012.04584']
1328506260178649089,1328506260178649089,['2010.03146']
1328506260178649089,1328506463367565312,[]
1328506260178649089,1328506699750154241,['2010.03146']
1323909834748633088,1323909834748633088,['2011.01589']
1323909834748633088,1323910010997514242,[]
1323519409202335744,1323519409202335744,['2006.00632']
1323519409202335744,1323530310940790784,[]
1321115811772125185,1321115811772125185,['2010.02840']
1321115811772125185,1321115812799733760,[]
1321115811772125185,1321115815819628545,[]
1321115811772125185,1321115816989917185,[]
1321115811772125185,1321115817820319744,['2010.02840']
1317116907598774272,1317116907598774272,['2010.06189']
1317116907598774272,1317116911017132032,[]
1317116907598774272,1317116914070683648,[]
1317116907598774272,1317116917530984448,['2003.11080']
1317116907598774272,1317116921012248576,[]
1317116907598774272,1317116924317306884,[]
1316773613694001152,1316773613694001152,['2010.02194']
1316773613694001152,1316773616399376386,[]
1316773613694001152,1316773617544433665,[]
1316773613694001152,1316773618563584000,[]
1316773613694001152,1316773619637391362,[]
1315952677453549569,1315952677453549569,[]
1315952677453549569,1315952866616643584,['2004.07790']
1315952677453549569,1315952923365441536,[]
1315952677453549569,1315952980437463040,['2003.04808']
1315952677453549569,1315953039421865984,['2004.04906']
1315952677453549569,1315953090542153728,['2002.09758']
1315952677453549569,1315953137400852488,[]
1315952677453549569,1315953185765445633,['1911.03814']
1315952677453549569,1315953236499730433,['2004.14356']
1315952677453549569,1315953301561712641,['1911.03587']
1315952677453549569,1315959756314599424,['2002.00293']
1313613204702982146,1313613204702982146,[]
1313613204702982146,1313613257974767616,['2010.02164']
1313586104923303944,1313586104923303944,[]
1313586104923303944,1313586108324864001,['1902.03499']
1313586104923303944,1313586111609012238,[]
1311295608423157760,1311295608423157760,['2006.00843']
1311295608423157760,1311296406108463114,[]
1288996226676006913,1288996226676006913,['2005.14165']
1288996226676006913,1288997046511382528,[]
1286077328863293440,1286077328863293440,[]
1286077328863293440,1286077330616508416,[]
1286077328863293440,1286077331371462656,[]
1286077328863293440,1286077332432670720,[]
1286077328863293440,1286077333187616768,[]
1286077328863293440,1286077333967745024,[]
1286077328863293440,1286077337063190530,[]
1286077328863293440,1286077338279505920,[]
1286077328863293440,1286077339139375105,[]
1286077328863293440,1286077339906891776,[]
1286077328863293440,1286077340586401792,[]
1286077328863293440,1286077341324591105,[]
1286077328863293440,1286077342067040256,[]
1286077328863293440,1286077342847086593,['2002.04108']
1286077328863293440,1286077343723712512,[]
1286077328863293440,1286077344461946880,[]
1286077328863293440,1286077345191796736,[]
1279017657178763270,1279017657178763270,['2007.01282']
1279017657178763270,1279017902323179520,[]
1279017657178763270,1279017993436086272,[]
1276361831129341952,1276361831129341952,['2006.13979']
1276361831129341952,1276361834224734210,['2006.11477']
1276361831129341952,1276361834979708928,[]
1276361831129341952,1276361835663421444,[]
1276361831129341952,1276361836351205378,[]
1276361831129341952,1276361837026480128,[]
1257657974773907457,1257657974773907457,['1911.03822']
1257657974773907457,1257657976430768131,[]
1257657974773907457,1257657978188181506,[]
1257657974773907457,1257657979614224385,[]
1257657974773907457,1257657981593882627,[]
1257657974773907457,1257657983728865280,[]
1250110155078828032,1250110155078828032,['2004.05483']
1250110155078828032,1250110156643241984,[]
1250079025311121409,1250079025311121409,['2004.03066']
1250079025311121409,1250079027022479364,[]
1250079025311121409,1250079028091944962,[]
1250079025311121409,1250079029186768897,[]
1250079025311121409,1250079030432485377,[]
1250079025311121409,1250079031523004422,[]
1250079025311121409,1250079032659582977,[]
1250079025311121409,1250079033691459588,[]
1250079025311121409,1250079034752536584,[]
1250079025311121409,1250079035746549764,[]
1250079025311121409,1250079037017505795,[]
1250079025311121409,1250079038057656321,[]
1250079025311121409,1250079039106277376,[]
1249779748961767425,1249779748961767425,['2003.11080']
1249779748961767425,1249780015958577154,[]
1249779748961767425,1249780143582785541,[]
1249779748961767425,1249780316140638217,[]
1248932641451229184,1248932641451229184,['2004.04070']
1248932641451229184,1248932775673188353,[]
1248932641451229184,1248932885572325376,[]
1247974279473270784,1247974279473270784,['2004.03012']
1247974279473270784,1247977574925389824,[]
1246507888517890051,1246507888517890051,['1911.02116']
1246507888517890051,1246507890535321600,['1911.01464']
1246507888517890051,1246507891302879232,[]
1244646461914169344,1244646461914169344,[]
1244646461914169344,1244646464145547271,['1910.10683']
1237019424185606144,1237019424185606144,['2002.11800']
1237019424185606144,1237019425209024517,[]
1237019424185606144,1237019426618249216,[]
1237019424185606144,1237019428237135873,[]
1237019424185606144,1237019429818585092,[]
1237019424185606144,1237019431991115776,[]
1236049830906138628,1236049830906138628,['2002.06305']
1236049830906138628,1236049832650960896,['2002.06305']
1231713840502657025,1231713840502657025,"['1806.00920', '1912.09723', '2002.06071', '1909.07005']"
1231713840502657025,1231714423317946370,"['1910.11856', '1910.07475']"
1225877111535218688,1225877111535218688,['1910.04708']
1225877111535218688,1225877113019957248,[]
1221851361811128321,1221851361811128321,"['2001.06286', '1912.05372', '1911.03894']"
1221851361811128321,1221862122986070017,['1912.09582']
1221066191449546752,1221066191449546752,[]
1221066191449546752,1221066321502330883,['1910.13461']
1221066191449546752,1221066377659809793,[]
1221066191449546752,1221066396861456390,[]
1221066191449546752,1221066856578142208,[]
